"","participant","context","environment","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","p","roundnLL","contextOrder","meanScore"
"75",10,"Conceptual","Rough",6,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,4.92187737211902,0.00673794700618779,0.0843326750006225,1.28478906409771,73.2598855045174,"Conceptual First",69.68
"76",10,"Conceptual","Rough",7,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,5.40157194719951,0.00673794700297322,0.0879010509164728,1.32369552990473,61.1642806952822,"Conceptual First",69.68
"77",10,"Conceptual","Rough",8,542.124500074185,0.237699485573649,"SimKernel","UCB",NA,7.79818002811553,0.00673794754424376,0.0928350557893515,1.39775743591545,49.2621862968808,"Conceptual First",69.68
"78",10,"Conceptual","Rough",9,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.76374656656358,0.00673794699913082,0.0926640028615513,NA,71.4659494732299,"Conceptual First",69.68
"79",10,"Conceptual","Rough",6,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.95556836865033,0.00673794699909912,0.096327260467404,NA,76.2941357226738,"Conceptual First",69.68
"80",10,"Conceptual","Rough",7,555.61156214464,0.218734848570523,"RBF","UCB",NA,1.72574624863106,0.00673794699909444,0.0980480600526213,NA,65.8655338086599,"Conceptual First",69.68
"81",10,"Conceptual","Rough",8,555.61156214464,0.218734848570523,"RBF","UCB",NA,2.0143861802,0.00673794699929027,0.104315289724544,NA,48.8352061501434,"Conceptual First",69.68
"82",10,"Spatial","Rough",2,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.904996702067082,0.168830495866188,0.0509354331581349,1.14412244563655,56.8469544994032,"Conceptual First",78.125
"83",10,"Spatial","Rough",3,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.908054206594804,0.185347452457345,0.0535268045957072,1.12801235675498,40.6274084562527,"Conceptual First",78.125
"84",10,"Spatial","Rough",4,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.897169619073643,0.180484027661605,0.0510829303079173,1.18810794140533,57.0189021297419,"Conceptual First",78.125
"85",10,"Spatial","Rough",1,414.943787270228,0.416532802980075,"SimKernel","UCB",NA,0.811311531391061,0.175845979883236,0.0501679000566898,0.946279505022019,48.9460303699966,"Conceptual First",78.125
"86",10,"Spatial","Rough",1,419.165381941604,0.410596668772436,"RBF","UCB",NA,1.06595125112603,0.142762248398712,0.06111216573863,NA,46.4174813569409,"Conceptual First",78.125
"87",10,"Spatial","Rough",2,419.165381941604,0.410596668772436,"RBF","UCB",NA,1.0456410639499,0.153089039526384,0.0577177189042814,NA,57.3460699740144,"Conceptual First",78.125
"88",10,"Spatial","Rough",3,419.165381941604,0.410596668772436,"RBF","UCB",NA,1.02168353237754,0.173939321327659,0.0596857103096794,NA,39.3527515899887,"Conceptual First",78.125
